Analogy,Similarity
king is to throne as judge is to prosecution,0.54
giant is to dwarf as genius is to theorist,0.34
college is to dean as jail is to peress,0.51
arc is to circle as line is to lines,0.56
french is to france as dutch is to netherlands,0.42
man is to woman as king is to queen,0.57
water is to ice as liquid is to solid,0.65
bad is to good as sad is to glory,0.5
nurse is to hospital as teacher is to institution,0.38
usa is to pizza as japan is to dishes,0.15
human is to house as dog is to hound,0.63
grass is to green as sky is to blue,0.44
video is to cassette as computer is to peripherals,0.58
universe is to planet as house is to houses,0.47
poverty is to wealth as sickness is to impious,0.54
